date_and_time	parameter	http_code	responds_time	days_requested	days_received
2018-01-23 06:23:07	sd	200	0.47393	21	21
2018-01-23 06:23:06	sdfsw	200	0.523721	21	21
2018-01-23 06:23:06	tm	200	0.594418	21	21
2018-01-23 06:08:07	tm	200	0.447361	21	21
2018-01-23 06:08:07	sd	200	0.424662	21	21
2018-01-23 06:08:06	sdfsw	200	0.618683	21	21
2018-01-23 05:53:11	sd	200	0.463914	21	21
2018-01-23 05:53:10	sdfsw	200	0.611221	21	21
2018-01-23 05:53:10	tm	200	0.470223	21	21
2018-01-23 05:38:12	sd	200	0.423361	21	21
2018-01-23 05:38:11	tm	200	0.43861	21	21
2018-01-23 05:38:10	sdfsw	200	0.631647	21	21
2018-01-23 05:23:08	sd	200	0.466964	21	21
2018-01-23 05:23:07	tm	200	0.747994	21	21
2018-01-23 05:23:06	sdfsw	200	0.759638	21	21
2018-01-23 05:10:05	sd	200	0.928749	21	20
2018-01-23 05:09:07	tm	200	0.832234	21	20
2018-01-23 05:08:07	sdfsw	200	0.4887	21	0
2018-01-23 04:53:05	tm	200	0.523673	21	20
2018-01-23 04:53:05	sd	200	0.504499	21	20
2018-01-23 04:53:04	sdfsw	200	0.505075	21	20
2018-01-23 04:40:05	sd	200	0.736644	21	20
2018-01-23 04:39:05	tm	200	0.529642	21	20
2018-01-23 04:38:04	sdfsw	200	0.788414	21	0
2018-01-23 04:23:11	sd	200	0.441559	21	20
2018-01-23 04:23:10	tm	200	0.618974	21	20
2018-01-23 04:23:09	sdfsw	200	0.638863	21	20
2018-01-23 04:09:41	sd	200	0.318363	21	20
2018-01-23 04:08:40	tm	200	0.38827	21	0
2018-01-23 04:08:08	sdfsw	200	0.310162	21	20
2018-01-23 03:53:06	tm	200	0.418034	21	20
2018-01-23 03:53:06	sd	200	0.827527	21	20
2018-01-23 03:53:05	sdfsw	200	0.681258	21	20
2018-01-23 03:39:21	sd	200	0.998326	21	20
2018-01-23 03:38:20	tm	200	0.398723	21	0
2018-01-23 03:38:06	sdfsw	200	0.964358	21	20
2018-01-23 03:23:13	tm	200	0.436302	21	20
2018-01-23 03:23:13	sd	200	0.491285	21	20
2018-01-23 03:23:12	sdfsw	200	0.65368	21	20
2018-01-23 03:09:41	sd	200	0.361363	21	20
2018-01-23 03:08:40	tm	200	0.403766	21	0
2018-01-23 03:08:07	sdfsw	200	0.375573	21	20
2018-01-23 02:53:05	tm	200	0.418144	21	20
2018-01-23 02:53:05	sd	200	0.40836	21	20
2018-01-23 02:53:04	sdfsw	200	0.49047	21	20
2018-01-23 02:38:08	tm	200	0.399505	21	20
2018-01-23 02:38:08	sd	200	0.414966	21	20
2018-01-23 02:38:05	sdfsw	200	0.839878	21	20
2018-01-23 02:23:06	tm	200	0.537007	21	20
2018-01-23 02:23:06	sd	200	0.481235	21	20
2018-01-23 02:23:05	sdfsw	200	0.968987	21	20
2018-01-23 02:09:21	sd	200	0.274633	21	20
2018-01-23 02:08:20	tm	200	0.444995	21	0
2018-01-23 02:08:06	sdfsw	200	0.349698	21	20
2018-01-23 01:53:14	sd	200	0.421999	21	20
2018-01-23 01:53:13	tm	200	0.202977	21	20
2018-01-23 01:53:12	sdfsw	200	0.715084	21	20
2018-01-23 01:39:21	sd	200	0.549791	21	20
2018-01-23 01:38:20	tm	200	0.43136	21	0
2018-01-23 01:38:04	sdfsw	200	0.77687	21	20
2018-01-23 01:23:09	tm	200	0.386151	21	20
2018-01-23 01:23:09	sd	200	0.391608	21	20
2018-01-23 01:23:08	sdfsw	200	0.574216	21	20
2018-01-23 01:09:21	sd	200	0.263791	21	20
2018-01-23 01:08:20	tm	200	0.408853	21	0
2018-01-23 01:08:07	sdfsw	200	0.112061	21	20
2018-01-23 00:53:14	sd	200	0.513701	21	20
2018-01-23 00:53:13	tm	200	0.464152	21	20
2018-01-23 00:53:12	sdfsw	200	0.669881	21	20
2018-01-23 00:39:21	sd	200	0.500496	21	20
2018-01-23 00:38:20	tm	200	0.429117	21	0
2018-01-23 00:38:08	sdfsw	200	0.894133	21	20
2018-01-23 00:23:06	tm	200	0.410658	21	20
2018-01-23 00:23:06	sd	200	0.420097	21	20
2018-01-23 00:23:05	sdfsw	200	0.702752	21	20
2018-01-23 00:09:41	sd	200	0.62399	21	20
2018-01-23 00:08:40	tm	200	0.709016	21	0
2018-01-23 00:08:06	sdfsw	200	0.321803	21	20
2018-01-22 23:53:05	tm	200	0.387501	21	21
2018-01-22 23:53:05	sd	200	0.40884	21	21
2018-01-22 23:53:04	sdfsw	200	0.927361	21	21
2018-01-22 23:38:06	tm	200	0.38834	21	21
2018-01-22 23:38:06	sd	200	0.38296	21	21
2018-01-22 23:38:05	sdfsw	200	0.493083	21	21
2018-01-22 23:23:06	tm	200	0.412565	21	21
2018-01-22 23:23:06	sd	200	0.410234	21	21
2018-01-22 23:23:05	sdfsw	200	0.518888	21	21
2018-01-22 23:08:07	tm	200	0.387784	21	21
2018-01-22 23:08:07	sd	200	0.395774	21	21
2018-01-22 23:08:06	sdfsw	200	0.447397	21	21
2018-01-22 22:53:11	sd	200	0.414244	21	21
2018-01-22 22:53:10	sdfsw	200	0.435127	21	21
2018-01-22 22:53:10	tm	200	0.397636	21	21
2018-01-22 22:38:11	tm	200	0.440349	21	21
2018-01-22 22:38:11	sd	200	0.573091	21	21
2018-01-22 22:38:10	sdfsw	200	0.494418	21	21
2018-01-22 22:23:12	sd	200	0.392405	21	21
2018-01-22 22:23:11	sdfsw	200	0.496694	21	21
2018-01-22 22:23:11	tm	200	0.395926	21	21
2018-01-22 22:08:07	sd	200	0.397564	21	21
2018-01-22 22:08:06	sdfsw	200	0.608198	21	21
2018-01-22 22:08:06	tm	200	0.408797	21	21
2018-01-22 21:53:04	sdfsw	200	0.448687	21	21
2018-01-22 21:53:04	tm	200	0.395795	21	21
2018-01-22 21:53:04	sd	200	0.397797	21	21
2018-01-22 21:38:08	sd	200	0.38551	21	21
2018-01-22 21:38:07	sdfsw	200	0.506455	21	21
2018-01-22 21:38:07	tm	200	0.419377	21	21
2018-01-22 21:23:06	sd	200	0.398013	21	21
2018-01-22 21:23:05	tm	200	0.393198	21	21
2018-01-22 21:23:04	sdfsw	200	0.545839	21	21
2018-01-22 21:08:09	sd	200	0.399769	21	21
2018-01-22 21:08:08	sdfsw	200	0.577819	21	21
2018-01-22 21:08:08	tm	200	0.399108	21	21
2018-01-22 20:53:07	tm	200	0.390099	21	21
2018-01-22 20:53:07	sd	200	0.403503	21	21
2018-01-22 20:53:06	sdfsw	200	0.56099	21	21
2018-01-22 20:38:12	tm	200	0.394906	21	21
2018-01-22 20:38:12	sd	200	0.401331	21	21
2018-01-22 20:38:11	sdfsw	200	0.553287	21	21
2018-01-22 20:23:12	tm	200	0.399415	21	21
2018-01-22 20:23:12	sd	200	0.410827	21	21
2018-01-22 20:23:11	sdfsw	200	0.586389	21	21
2018-01-22 20:08:08	tm	200	0.542218	21	21
2018-01-22 20:08:08	sd	200	0.404581	21	21
2018-01-22 20:08:07	sdfsw	200	0.523998	21	21
2018-01-22 19:53:06	tm	200	0.400259	21	21
2018-01-22 19:53:06	sd	200	0.403573	21	21
2018-01-22 19:53:05	sdfsw	200	0.554579	21	21
2018-01-22 19:38:15	sd	200	0.394247	21	21
2018-01-22 19:38:14	sdfsw	200	0.668739	21	21
2018-01-22 19:38:14	tm	200	0.396595	21	21
2018-01-22 19:23:09	sd	200	0.381469	21	21
2018-01-22 19:23:08	sdfsw	200	0.436363	21	21
2018-01-22 19:23:08	tm	200	0.385993	21	21
2018-01-22 19:08:10	sd	200	0.390505	21	21
2018-01-22 19:08:09	sdfsw	200	0.460707	21	21
2018-01-22 19:08:09	tm	200	0.40138	21	21
2018-01-22 18:53:06	tm	200	0.398788	21	21
2018-01-22 18:53:06	sd	200	0.386808	21	21
2018-01-22 18:53:05	sdfsw	200	0.466133	21	21
2018-01-22 18:38:10	sd	200	0.380311	21	21
2018-01-22 18:38:09	sdfsw	200	0.5508	21	21
2018-01-22 18:38:09	tm	200	0.391233	21	21
2018-01-22 18:23:07	tm	200	0.501414	21	21
2018-01-22 18:23:07	sd	200	0.394336	21	21
